Alimento;Gramos por Porción;Calorías por Porción;Proteína (g)
Remolacha, cocida;57;25;1
Tomate chonto;118;25;1,1
Tomate larga vida;132;27;
Tomate riñón;104;25;1,2
Tomate rojo maduro enlatado;105;20;0,9
Zanahoria;58;25;0,6
Almendras tostadas sin sal;9;53;1,5
Avellanas tostada sin sal;7;46;1
Coco deshidratado;9;53;0,5
Coco fresco rallado;14;50;0,5
Macadamia tostado sin sal;6;43;0,5
Maní sin sal;10;57;2,6
Marañón tostado sin sal;10;57;1,5
Mezcla de nueces;11;65;1,9
Nuez del Brasil;8;52;1,1
Nuez del nogal;8;49;2
Pacanas tostadas sin sal;8;55;0,6
Pistacho crudo sin cáscara;19;51;1,8
"Pistacho tostado y 
salado sin cascara";9;55;1,3
Linaza entera;36;54;3,6
Linaza pulverizada;12;64;2,2
Semillas de ajonjolí tostado;10;57;1,7
Semillas de amapola;11;58;1,9
Semillas de calabaza;10;45;1,9
Semillas de girasol descortezado;10;58;1,9
Semillas de soya;10;45;4
Arequipe;27;87;1,6
Azúcar blanca granulada;26;101;0
"Bebida achocolatada instantánea 
con azúcar";20;80;1
Bebida de fruta azucarada;200;85;0
Bebida de té instantáneo con azúcar;22;85;0,1
Bebida de té líquida;300;110;0
Bebida malta;200;92;0,6
Bocadillo de guayaba;30;92;0,1
Brevas almíbar drenadas;47;90;0,9
Caramelos;24;92;1,1
Cerezas en almíbar;90;60;0,5
Chocolatina blanca comercial;15;90;1,5
Chocolatina de leche;12;62;0,8
Ciruelas pasas;41;98;1,1
Cocada de panela;25;98;0,4
Coctel de frutas;157;89;0,6
Confites duros;22;87;0
Cucas;19;72;1,6
Durazno enlatado;173;93;0,9
Gaseosa;200;82;0
Gelatina con azúcar preparada;160;94;1,9
Gelatina de pata;23;72;1,9
Gomita tradicional;24;90;0
Helado de agua;200;84;0
Helado de vainilla;45;90;1,6
Jarabe de maple;37;97;0
Leche condensada;28;90;2,2
Masmelos;30;95;0,5
Mermelada;30;83;0,2
Mermelada light;60;80;0
Miel de abejas;21;64;0,1
Panela en polvo;26;81;0,1
Panelita de arequipe;23;100;2
Piña enlatada;172;89;0,7
"Ponqué cubierto de 
chocolate comercial";21;90;1,8
Ponqué mediano tradicional;25;91;2
Postre gelatina-leche;65;90;4,9
3D triángulos;30;151;2,2
Boli cheetos;26;153;2
Brownie mama-ia arequipe;100;390;7
Cheese tris;52;260;2,6
Choclitos limón;29;140;1
Choco poff;15;75;0,9
Colombineta;20;90;1
Crispetas comerciales de caramelo;24;100;0
Crispetas comerciales de mantequilla;11;50;1
Crispetas comerciales de queso;13;70;1
Doritos arepitas;30;143;2,2
Doritos mega queso;30;150;2,5
Mini cheetos;10;52;0,6
Mini chips chocolate;35;170;2
Mini recreo;40;180;2
Palitos margarita;39;183;3,3
Papas fritas criollas;25;140;2
Papitas limón;25;147;1,6
Papitas pollo;30;160;1
Platanitos maduros;35;167;1,1
Plátanos limón;28;140;0,6
Rosquitas;18;73;2
Sapito;14;80;1
Tosti arepa;30;155;2,4
Yogueta;20;76;0
Yupis;16;80;1
Aguardiente;35;71;
Cerveza 3,6 gr %;300;123;0,9
Cerveza baja caloria 3,2 gr %;300;84;0,6
Chicha 4%;200;154;1,2
Crema de menta 29,8%;70;260;0
Daiquiri 23,2 gr %;70;130;0,1
Ginebra 37,9 gr %;35;92;0
Guarapo 3 %;200;66;0,2
Lcor de café 21,75 %;70;235;0,1
Manhattan 36,9 %;70;157;0,1
Martini 38,4 %;90;201;0
Piña colada 12,3 %;150;279;0,6
Ron 33, 4 gr %;35;81;0
Tom coliins (ginebra 18,9%);200;110;0
Vino blanco 9,3 gr %;90;61;0,1
Vino rosado 9,3 gr %;90;64;0,2
Vino tinto 9,3 gr %;90;65;0,2
Vodka 33,4 gr %;35;81;0
Whisky 36 gr %;35;88;0
Avena instantanea saborizada;25;100;1
Café instántaneo descafeinado en polvo;3;7;0,3
Café instántaneo en polvo;3;7;0,4
Chocolate amargo;8;42;0,8
Chocolate con azticar;25;110;1
Chocolate granulado con panels;31;147;1
Claro de maíz;200 cc;30;0,2
Gaseosa aziicarada;350cc;172;0
"Gaseosa diferente at tipo cola endulzada 
con aspartame, sin cafeína";350cc;0;0,4
"Gaseosa tipo cola con aspartame, 
contiene cafeína";350cc;4;0,4
Gatorade;240 cc;60;0
Jugo de naranja;200cc;90;1,4
Malta;350cc;210;1,1
Squash;237;58;
Super Boli;75;52;
Té de hiervas;1,6;0;0
"Te instantaneo en polvo, 
endulzado con sucralosa";15;59;0
